Timestamp,Channel,Message
2019-04-01 23:00:00,/SmartHome/data/sensor,testfile/498
2019-04-02 00:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 00:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 00:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 00:00:00,/SmartHome/data/sensor,testfile/498
2019-04-02 01:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 01:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 01:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 01:00:00,/SmartHome/data/sensor,testfile/498
2019-04-02 02:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 02:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 02:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 02:00:00,/SmartHome/data/sensor,testfile/496
2019-04-02 03:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 03:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 03:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 03:00:00,/SmartHome/data/sensor,testfile/495
2019-04-02 04:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 04:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 04:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 04:00:00,/SmartHome/data/sensor,testfile/495
2019-04-02 05:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 05:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 05:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 05:00:00,/SmartHome/data/sensor,testfile/494
2019-04-02 06:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 06:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 06:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 06:00:00,/SmartHome/data/sensor,testfile/494
2019-04-02 07:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 07:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 07:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 07:00:00,/SmartHome/data/sensor,testfile/493
2019-04-02 08:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 08:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 08:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 08:00:00,/SmartHome/data/sensor,testfile/493
2019-04-02 09:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 09:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 09:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 09:00:00,/SmartHome/data/sensor,testfile/492
2019-04-02 10:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 10:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 10:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 10:00:00,/SmartHome/data/sensor,testfile/492
2019-04-02 11:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 11:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 11:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 11:00:00,/SmartHome/data/sensor,testfile/492
2019-04-02 12:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 12:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 12:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 12:00:00,/SmartHome/data/sensor,testfile/491
2019-04-02 13:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 13:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 13:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 13:00:00,/SmartHome/data/sensor,testfile/491
2019-04-02 14:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 14:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 14:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 14:00:00,/SmartHome/data/sensor,testfile/491
2019-04-02 15:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 15:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 15:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 15:00:00,/SmartHome/data/sensor,testfile/490
2019-04-02 16:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 16:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 16:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 16:00:00,/SmartHome/data/sensor,testfile/490
2019-04-02 17:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 17:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 17:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 17:00:00,/SmartHome/data/sensor,testfile/489
2019-04-02 17:48:00,/SmartHome/watering_array_v4/sensor/444,1
2019-04-02 17:48:00,/SmartHome/data/sensor,444/watering_array_v4/1/44
2019-04-02 18:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 18:00:00,/SmartHome/watering_array_v4/sensor/testfile,4
2019-04-02 18:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 18:00:00,/SmartHome/data/sensor,testfile/watering_array_v4/4/0
2019-04-02 18:05:07,/SmartHome/watering_array_v4/device,
2019-04-02 18:05:07,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 19:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 19:00:00,/SmartHome/watering_array_v4/sensor/testfile,4
2019-04-02 19:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 19:00:00,/SmartHome/data/sensor,testfile/watering_array_v4/4/4
2019-04-02 20:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 20:00:00,/SmartHome/watering_array_v4/sensor/testfile,4
2019-04-02 21:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 21:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 21:28:19,/SmartHome/watering_array_v4/device,
2019-04-02 21:34:28,/SmartHome/watering_array_v4/device,
2019-04-02 21:35:10,/SmartHome/watering_array_v4/device,
2019-04-02 21:35:56,/SmartHome/watering_array_v4/device,
2019-04-02 21:35:56,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 21:40:13,/SmartHome/zigbee2mqtt/bridge/state,online
2019-04-02 21:40:13,/SmartHome/zigbee2mqtt/0x00178801043e07fb,|{"state":"ON","linkquality":5,"brightness":254,"color":{"x":0.457,"y":0.41,"saturation":55.1,"hue":46.2},"color_temp":366,"color_mode":2}|
2019-04-02 21:40:13,/SmartHome/zigbee2mqtt/bridge/config,|{"log_level":"info","permit_join":true}|
2019-04-02 21:40:29,/SmartHome/watering_array_v4/device,
2019-04-02 21:40:30,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-02 21:55:58,/SmartHome/watering_array_v4/device,
2019-04-02 21:55:58,/SmartHome/watering_array_v4/deviceinformation,1885676090wateri
2019-04-02 21:58:00,/SmartHome/watering_array_v4/device,
2019-04-02 22:00:00,/SmartHome/watering_array_v4/device,
2019-04-02 22:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-02 22:00:14,/SmartHome/watering_array_v4/device,
2019-04-02 22:00:22,/SmartHome/watering_array_v4/device,
2019-04-02 22:00:22,/SmartHome/watering_array_v4/deviceinformation,test
2019-04-02 22:01:51,/SmartHome/watering_array_v4/device,
2019-04-02 22:01:51,/SmartHome/watering_array_v4/deviceinformation,{'devicetype':wa
2019-04-02 22:03:02,/SmartHome/watering_array_v4/device,
